text,label,step
beneran pernah ngalamin kating baik banget mau balik bogor pas sampe subang kecelakaan terus balik sang pencipta nyesel ga sempet bilang apa pergi,0,train
kepolisian menyebut kecelakaan bencana alam penyebab utamanya terletak perilaku kondisi jiwa pengemudi,0,train
plot twist ibunya abis kecelakaan nemenin ugd baru ditinggal ga masalah sih yg penting kan etika profesional,0,train
korban penipuan mah ga sakit korban kecelakaan biasa tpi kalo jdi korban perasaan kmu rasanya sakit bgt,0,train
sulit diterima akal sehat vagabond lee seunggi pagi diculik hampir dibunuh berantem kecelakaan mobil cuma pusing dikit abis kejaran lompat sana sini ngelawan pasukan penjaga presiden selamat,0,train
masya allah kecelakaan maut cipularang km an udah banyak korban jiwa ruas,0,train
jakarta kecelakaan mega kuningan elshinta,1,train
shock baru dpt kabar temen kantor kecelakaan beruntun asli se shock krn jalanan yg biasa gw lewatin pulang kerjatrs yg korbanya temen yg biasa pulang brg sm gw td gw udh mau balik brg tp krn gw lembur akhirnya temen gw pulang pake gojek allah mba pite,0,train
tahukah mengalami kecelakaan garagara jalan rusak menggugat pemerintah,0,train
kecelakaan tunggal bus transjakarta menabrakseparator,1,train
kecelakaanpembunuhanperampokan sekitarkita haruskah takuthub pin bb ccdc,0,train
oi oi oi o i oi hentikan kelakuan bang kecelakaan,0,train
kecelakaan super rame,0,train
mobil mengalami tabrakan beruntun tol cipularang km purwakarta jawa barat senin regional,1,train
kakel ku akuntansi lulusan meninggal gara kecelakaan,0,train
kecelakaan beruntun km tol cipali sebabkan truk bus rusak parah penyebab diketahui,1,train
ketemu temen abis operasi mancungin hidung aku temenku loh hidungmu abis kecelakaan ih bukan implan hidung hehehehhe,0,train
kacau kalo kecelakaan sama orang kampung punya sodara kodim aja nge bangga banggain parah lah gue kalo mau pamerin sodara yg polisi artis please lah gausah norak keliatian bgt kampung nyaa sodara lawyear gua punya ni ferguso,0,train
kecelakaan besarlah tiap orang banyak berdusta banyak berdosaqs aljasiyah,0,train
kecelakaanpembunuhanperampokan sekitarkita haruskah takuthub pin bb ccdc,0,train
tell me what you saw mantep sekaleeeeeeeee wkwkw keren bgt dah mbak sooyoung huhu om jang hyuk gausa diragukan lah yaa pertama ngira cacat awal gataunya cacat krn kecelakaan buta im so sad,0,train
cowo aing hari sby walaupun tiap hari aja yg diberantemin selama hari tp never felt this much of bond kecelakaan bareng yg bener bikin belajar satu sm kedua nya lg rockbottom,0,train
kecelakaan kerja waktu melaksanakan kerjaloh kok gak gerakan yg greget sihhh astaghfirullah,0,train
wib toljagorawi hatihati gerbang tol cililitan gardu arah cawang penanganan kecelakaan,1,train
adaada aja gilang kecelakaan nabrak jamet motornya lampu mati gapunya sim ga make helm malah tangan gilangnya yg patah jametnya cuma keseleo dah gitu minta ganti rugi wkwkwkwk punten,0,train
udah dm an perhatian sayangan jadian pas mau meet ehh malah mati kecelakaan dijalan nauzubillah,0,train
